type,name,shortname,start,end,desc,cost,deaths
storm,"Texas Tornadoes and Midwest Flooding†
 December 2015",,2015-12-26,2015-12-29,"A powerful storm system packing unseasonably strong tornadoes caused widespread destruction in the Dallas metropolitan region, damaging well over 1,000 homes and businesses. This same potent system also produced intense rainfall over several Midwestern states triggering historic flooding that has approached or broken records at river gauges in several states (MO, IL, AR, TN, MS, LA). The flooding has overtopped levees and caused damage in numerous areas. This historic storm also produced high wind, snow and ice impacts from New Mexico through the Midwest and into New England. Overall, the storm caused at least 50 deaths from the combined impact of tornadoes, flooding and winter weather.",$2.10,50
storm,"Central and Northeast Severe Weather†
 June 2015",,2015-06-21,2015-06-25,"Severe storms across numerous Central and Northeast states (CO, CT, IA, IL, MD, MI, NJ, NY, PA, SD, VA, WI) with widespread hail and high wind damage.",$1.20,1
storm,"Southern Plains Tornadoes†
 May 2015",,2015-05-06,2015-05-10,"Tornado outbreak across the Southern Plain states (IA, KS, NE, OK, CO, SD, TX) with 122 tornadoes. The most costly damage occurred across Texas and Oklahoma.",$1.30,4
storm,"South/ Southeast Severe Weather†
 April 2015",,2015-04-18,2015-04-20,"Severe storms across the South and Southeastern states (AL, AR, FL, GA, KS, LA, MS, NC, OK, SC, TN, TX). High winds and severe hail created the most significant damage in Texas.",$1.30,0
storm,"Midwest/ Ohio Valley Severe Weather†
 April 2015",,2015-04-07,2015-04-09,"Severe storms across the Midwest and Ohio Valley including the states (AR, IA, IL, IN, KS, KY, MI, MO, NC, OH, OK, PA, TN, TX, WI, WV). Large hail and high winds created the most damage across Missouri and Illinois.",$1.60,2
storm,"Rockies/ Plains Severe Weather†
 September 2014",,2014-09-29,2014-10-02,"Severe storms across the Rockies and Plains states (CO, KS, TX). Large hail and high winds created significant damage across eastern Colorado and Texas, particularly in the Dallas metro area.",$1.50,0
storm,"Rockies/ Central Plains Severe Weather†
 June 2014",,2014-06-03,2014-06-05,"Severe storms across the Rockies and Central Plains states (NE, KS, WY, IA, AR). Wind gusts exceeding 90 mph and baseball to softball sized hail caused severe damage to structures and vehicles in central and eastern Nebraska.",$2.00,2
storm,"Rockies/ Midwest/ Eastern Severe Weather†
 May 2014",,2014-05-18,2014-05-23,"Severe storms across the Rockies, Midwest and Eastern states (CO, MT, IA, IL, IN, OH, SC, VA, PA, DE, NY) with the most costly damage in Colorado, Illinois and Pennsylvania.",$3.90,0
storm,"Midwest/ Southeast/ Northeast Tornadoes and Flooding†
 April 2014",,2014-04-27,2014-05-01,"Tornado outbreak across the Midwest, Southeast and Northeast states (AL, AR, DE, FL, GA, KS, MD, MO, MS, NC, NJ, NY, PA, TN, VA) with 83 confirmed tornadoes. Mississippi had its 3rd greatest number of tornadoes reported for any day since 1950. Torrential rainfall in the Florida panhandle also caused major flooding, as Pensacola set new 1-day and 2-day precipitation records of 15.55 and 20.47 inches, respectively. Flooding rains were also reported in coastal Alabama, as Mobile received 11.24 inches of rain, the third greatest calendar day rainfall total for the city.",$1.80,33
storm,"Plains Severe Weather†
 April 2014",,2014-04-02,2014-04-03,"Severe storms across the Plains states (IL, KS, MO, TX) causing considerable hail and wind damage in Texas.",$1.50,0
storm,"Ohio Valley Tornadoes†
 November 17, 2013",,2013-11-17,2013-11-17,"Late-season outbreak of tornadoes and severe weather over the Ohio Valley (IL, IN, KY, MI, MO, OH) with 70 confirmed tornadoes. Most severe impacts occurred across Illinois and Indiana.",$1.20,8
storm,"Midwest Severe Weather†
 August 6-7 2013",,2013-08-06,2013-08-07,Severe weather and large hail causes considerable damage across Minnesota and Wisconsin.,$1.10,0
storm,"Midwest/ Plains/ Northeast Tornadoes†
 May 27-31 2013",,2013-05-27,2013-05-31,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Northeast (IL, IN, KS, MO, NY, OK, TX) with 92 confirmed tornadoes including the deadly tornado that struck El Reno, OK. There was also significant damage resulting from hail and straight-line wind.",$1.90,10
storm,"Midwest/ Plains/ East Tornadoes†
 May 18-22 2013",,2013-05-18,2013-05-22,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Eastern states (GA, IA, IL, KS, MO, NY, OK, TX) with 59 confirmed tornadoes including the deadly tornado that impacted Moore, OK. Many destructive tornadoes remained on the ground for an extended time.",$2.50,27
storm,"Midwest/ Plains Severe Weather†
 April 7-11, 2013",,2013-04-07,2013-04-11,"Severe weather across the Midwest and Plains states (IN, KS, MO, NE) with a total of 26 confirmed tornadoes. Considerable damage resulting from hail and straight-line wind.",$1.50,1
storm,"Southeast Severe Weather†
 March 18, 2013",,2013-03-18,2013-03-18,"Severe weather over the Southeast (MS, AL, GA, TN) with 10 confirmed tornadoes. Considerable damage resulting from large hail and straight-line wind.",$2.10,1
storm,"Plains/ East/ Northeast Severe Weather†
 June 29-July 2 2012",,2012-06-29,2012-07-02,"Sustained outbreak of thunderstorms / high winds from a strong derecho event over the central, eastern, and northeastern states (IL, IN, KY, OH, WV, SC, NC, VA, MD, DC, NJ).",$3.10,28
storm,"Rockies/ Southwest Severe Weather†
 June 6-12 2012",,2012-06-06,2012-06-12,"Severe storms and damaging hail over several states (CO, NM, TX) with 25 confirmed tornadoes. Colorado experienced over 1.0 (1.1) billion in damage due to hail.",$2.80,0
storm,"Southern Plains/ Midwest/ Northeast Severe Weather†
 May 25-30 2012",,2012-05-25,2012-05-30,"Severe storms over the southern plains, midwest and northeast (TX, OK, KS, MN, PA, NY) with 27 confirmed tornadoes. Significant damage also from severe hail and straight-line winds.",$2.50,1
storm,"Midwest/ Ohio Valley Severe Weather†
 April 28-May 1 2012",,2012-04-28,2012-05-01,"Severe weather over the midwest and Ohio Valley (TX, OK, KS, MO, IL, IN, KY) with 38 confirmed tornadoes. Considerable damage resulting from hail.",$3.50,1
storm,"Midwest Tornadoes†
 April 13-14 2012",,2012-04-13,2012-04-14,"Outbreak of tornadoes and severe weather over the midwest (OK, KS, NE, IA) with 98 confirmed tornadoes including many tornadoes that remained on the ground for an extended time - traveling tens of miles.",$1.20,6
storm,"Texas Tornadoes†
 April 2-3 2012",,2012-04-02,2012-04-03,Outbreak of tornadoes across the greater Dallas-Ft. Worth metropolitan area. Several moderate strength tornadoes (EF-2 and EF-3) affected towns in this area with a total of 22 confirmed tornadoes.,$1.10,0
